高雄竹寮里12鄰竹寮路114之20號 22.6591585,120.4252389 00:00 - 24:00
高雄東亞路2號 22.568347,120.326441 00:00 - 24:00
高雄博學路481號 22.5632676,120.3707054 07:00 - 21:00
高雄高鳳路102號 22.5761297,120.3711451 00:00 - 24:00
高雄大業北路218號 22.5621873,120.3491175 00:00 - 24:00
高雄沿海三路26-3號 22.5296906,120.3701499 00:00 - 24:00
高雄小港路75號 22.565365,120.341798 00:00 - 24:00
高雄孔鳳路579號 22.584527,120.358693 00:00 - 24:00
高雄高鳳路272號 22.5774888,120.3715457 00:00 - 24:00
高雄灣內里鳳仁路102號 22.690106,120.350915 06:30 - 22:30
高雄文武里13鄰水管路3段276號 22.7036079,120.3589528 07:00 - 22:00
高雄仁武里4鄰鳳仁路177號 22.695163,120.348482 00:00 - 24:00
高雄文武里7鄰澄觀路1段1111號 22.701413,120.359175 00:00 - 24:00
高雄澄觀路一段80號 22.686917,120.355376 00:00 - 24:00
高雄文武里13鄰澄觀路二段2號 22.701825,120.360355 07:00 - 21:00
高雄烏林里2鄰仁林路153號 22.6974289,120.3707197 06:00 - 22:00
高雄五和里9鄰高楠公路62號 22.7002537,120.3235367 07:00 - 23:00
高雄高楠里3鄰高楠公路55號 22.6934147,120.321672 07:00 - 21:00
高雄文武里16鄰光復路416號 22.986258,120.637234 06:00 - 20:00
高雄寶來里寶建路4號 23.0975726,120.6827471 06:00 - 21:00
高雄政德路171號 22.6768577,120.2992131 00:00 - 24:00
高雄博愛二路402號 22.66564,120.303742 00:00 - 24:00
高雄民族一路697號 22.6711921,120.3173052 00:00 - 24:00
高雄大中一路443號 22.6785142,120.3194115 00:00 - 24:00
高雄博愛二路616號 22.668683,120.303707 00:00 - 24:00
高雄民族一路936號 22.6740607,120.3184085 00:00 - 24:00
高雄自由三路157號 22.671479,120.310795 00:00 - 24:00
高雄左營大路920號 22.696893,120.3014303 00:00 - 24:00
高雄維新里14鄰維新路18-13號 22.8081358,120.2573277 00:00 - 24:00
高雄大田里田寮巷27號 23.062653,120.5710238 06:00 - 22:00
高雄大田里中園路200號 23.0625766,120.5710924 06:30 - 20:30
高雄達卡努瓦7鄰大光巷188號 23.274259,120.719787 06:00 - 18:00
高雄本洲路11號 22.8016816,120.2810692 06:00 - 22:00
高雄大遼里介壽東路157號 22.7861484,120.3134611 06:30 - 22:30
高雄石潭里10鄰石潭路100號 22.7710045,120.2682202 06:00 - 21:00
高雄成功路462號 22.8117225,120.3005072 00:00 - 24:00
高雄岡山里14鄰岡山路608號 22.8024829,120.2914234 00:00 - 24:00
高雄後協里25鄰通校路167號 22.7899516,120.2811086 06:30 - 22:00
高雄本洲里10鄰岡山北路246號 22.818989,120.271495 00:00 - 24:00
高雄前峰里12鄰前峰路238號 22.804057,120.278994 06:30 - 22:30
高雄程香里19鄰介壽東路10號 22.786138,120.313683 00:00 - 24:00
高雄協榮里13鄰介壽西路427-1號 22.7824635,120.2731824 06:30 - 10:30
高雄為隨里1鄰為隨西路16號 22.8129672,120.29096 07:00 - 22:00
高雄程香里31鄰岡燕路529號 22.7910857,120.3104312 00:00 - 24:00
