高雄市楠梓區後昌路722號 22.7098181,120.2967766 00:00 - 24:00
高雄市楠梓區藍昌路379號1樓 22.7261859,120.2914159 00:00 - 24:00
高雄市楠梓區後昌路1187號1189號 22.71704,120.2905342 00:00 - 24:00
高雄市楠梓區翠屏里德惠路66號1樓 22.727006,120.303245 00:00 - 24:00
高雄市楠梓區清豐里旗楠路891號1樓 22.742164,120.338779 00:00 - 24:00
高雄市大社區三民路213號 22.724906,120.348609 00:00 - 24:00
高雄市三民區建國三路28號30號1樓 22.637716,120.301331 00:00 - 24:00
高雄市三民區力行路248號 22.6381866,120.2864072 00:00 - 24:00
高雄市三民區正興里建元路58號1及2樓 22.6465643,120.3177838 00:00 - 24:00
高雄市三民區民族一路900號 22.6703488,120.3191403 00:00 - 24:00
高雄市三民區建工路317號319號 22.6530953,120.3318536 00:00 - 24:00
高雄市三民區寶德里覺民路338號 22.6404308,120.3352598 00:00 - 24:00
高雄市三民區十全一路74號 22.6449806,120.3118127 00:00 - 24:00
高雄市三民區本和里大福街211號213號 22.657639,120.326108 00:00 - 24:00
高雄市三民區鼎泰里明仁路8號 22.6603384,120.3140682 00:00 - 24:00
高雄市三民區建國三路437號 22.6360807,120.2910112 00:00 - 24:00
高雄市三民區明吉路9號 22.6618814,120.3131671 00:00 - 24:00
高雄市三民區德智里熱河一街190號192號 22.643726,120.30852 00:00 - 24:00
高雄市三民區正忠路259號 22.6456908,120.3300875 00:00 - 24:00
高雄市三民區自立一路287號289號 22.643247,120.296215 00:00 - 24:00
高雄市三民區九如二路86號1樓 22.6407875,120.3111168 00:00 - 24:00
高雄市三民區吉林街68號 22.641849,120.306261 00:00 - 24:00
高雄市三民區鼎中路735號737號1樓 22.6740034,120.3215892 00:00 - 24:00
高雄市三民區鼎貴路146號1樓 22.674049,120.3236605 00:00 - 24:00
高雄市三民區鼎新路86號88號1樓 22.6629199,120.3233475 00:00 - 24:00
高雄市三民區嫩江街101號 22.643787,120.298388 00:00 - 24:00
高雄市三民區安邦里察哈爾二街83號1樓 22.6477495,120.3002103 00:00 - 24:00
高雄市三民區正興路1號3號 22.646074,120.323081 00:00 - 24:00
高雄市新興區六合路117號 22.631968,120.315691 00:00 - 24:00
高雄市新興區南港里七賢一路432號1樓 22.6346551,120.3053157 00:00 - 24:00
高雄市新興區德望里民生一路154號1樓 22.627918,120.309894 00:00 - 24:00
高雄市新興區開平里七賢一路268號270號 22.6341065,120.3094617 00:00 - 24:00
高雄市新興區五福二路92號 22.6256272,120.3080749 00:00 - 24:00
高雄市仁武區大灣里八德南路499號 22.676869,120.341138 00:00 - 24:00
高雄市仁武區考潭里仁心路198-1號1樓 22.6855306,120.3640289 00:00 - 24:00
高雄市仁武區仁和里仁忠路176號1樓 22.679799,120.354797 00:00 - 24:00
高雄市仁武區仁慈里仁慈路169號1樓 22.673974,120.357458 00:00 - 24:00
高雄市仁武區灣內里鳳仁路95之15號 22.687212,120.352102 00:00 - 24:00
高雄市仁武區八卦里永仁街436號 22.686814,120.334978 00:00 - 24:00
高雄市仁武區八卦里八德南路382號1樓 22.681258,120.340239 00:00 - 24:00
高雄市仁武區八德西路1660號 22.692177,120.332558 00:00 - 24:00
